url,recipe,ingredient,match,foodex2,ghge_per_100g,lu_per_100g,weight,match_profile,match_profile_ID,Notes1,match_flavourDB,match_flavourDB_ID,Notes2,Swaps
http://allrecipes.com/recipe/cheesy-chicken-and-potato-casserole,Cheesy Chicken and Potato Casserole,vegetable oil,Rapeseed (vegetable) oil,A036V,3.110744146,10.6822371,15,-,-,no oils in this DB,Canola Oil,380,,N/A
http://allrecipes.com/recipe/cheesy-chicken-and-potato-casserole,Cheesy Chicken and Potato Casserole,chicken fresh meat,Chicken fresh meat,A01SP,8.582121315,14.28787879,270,"Chicken (fillets, cutlets, etc.)",60,,Chicken,272,,N/A
http://allrecipes.com/recipe/cheesy-chicken-and-potato-casserole,Cheesy Chicken and Potato Casserole,scalloped potato mix,Potato crisp from potato slice,A0BYS,1.164060482,0.87804878,155.65,-,-,,Baked potato,873,"Regular potato has much more flavour molecules, should I also add it? ID=373 (this one only has 2)",N/A
http://allrecipes.com/recipe/cheesy-chicken-and-potato-casserole,Cheesy Chicken and Potato Casserole,potatoe thinly,Potatoe,A00ZT,0.503206926,0.388219545,400,Potatoes (steam or boiled),181,,Potato,373,,N/A
http://allrecipes.com/recipe/cheesy-chicken-and-potato-casserole,Cheesy Chicken and Potato Casserole,cheddar cheese,Cheese cheddar,A02YK,13.14211514,12.9428895,474,Cantal (cheese),48,apparently closest to Cheddar,Cheddar Cheese,65,,@Cottage Cheese@Cream Cheese@Mozzarella Cheese@Milk@Yogurt
http://allrecipes.com/recipe/roast-beef-stuffed-shells,Roast Beef Stuffed Shells,jumbo pasta shell,Pasta wholemeal,A04LC,0.43109418,1.087142153,339.6,-,-,,Pasta,484,,N/A
http://allrecipes.com/recipe/roast-beef-stuffed-shells,Roast Beef Stuffed Shells,thinly deli roast cow meat,Cow ox or bull fresh meat,A01QX,34.04164267,58.86994949,680.4,Beef (roast or grilled),20,,Beef Processed,271,,@Pork@Chicken@Mutton@Lamb
http://allrecipes.com/recipe/roast-beef-stuffed-shells,Roast Beef Stuffed Shells,cow meat gravy,Cow ox or bull fresh meat,A01QX,34.04164267,58.86994949,1160.3,-,-,,Beef Processed,271,"Not very accurate, there's something called relish, do I use it?",@Pork@Chicken@Mutton@Lamb
http://allrecipes.com/recipe/roast-beef-stuffed-shells,Roast Beef Stuffed Shells,cream-style horseradish sauce,Horseradish root,A00QK,0.391467498,0.2667162,283,Horseradish (raw. with salt),124,,Horseradish,355,,@Mustard
http://allrecipes.com/recipe/roast-beef-stuffed-shells,Roast Beef Stuffed Shells,cheddar cheese,Cheese cheddar,A02YK,13.14211514,12.9428895,226.4,Cantal (cheese),48,apparently closest to Cheddar,Cheddar Cheese,65,,@Cottage Cheese@Cream Cheese@Mozzarella Cheese@Milk@Yogurt
http://allrecipes.com/recipe/apple-walnut-bread,Apple Walnut Bread,vegetable oil,Rapeseed (vegetable) oil,A036V,3.110744146,10.6822371,177.75,-,-,no oils in this DB,Canola Oil,380,,N/A
